job_title,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name
AI Research Scientist,73151,EUR,MI,PT,Germany,M,Finland,100,"Deep Learning, SQL, PyTorch, AWS",Master,4,Retail,2024-10-06,2024-10-26,1228,9.5,Cloud AI Solutions
Principal Data Scientist,62571,USD,EN,CT,Sweden,M,South Korea,50,"Spark, Hadoop, Data Visualization, Deep Learning, Scala",PhD,1,Finance,2024-06-24,2024-08-11,668,7.7,Algorithmic Solutions
NLP Engineer,161412,USD,EX,PT,Singapore,S,Singapore,0,"AWS, Tableau, Linux, MLOps",Master,12,Government,2024-12-24,2025-02-10,1176,7.9,Neural Networks Co
Autonomous Systems Engineer,84593,SGD,MI,PT,Singapore,M,Singapore,0,"Linux, Git, SQL",Associate,2,Transportation,2024-12-03,2025-02-08,2411,7.9,TechCorp Inc
AI Research Scientist,69383,SGD,EN,FT,Singapore,M,Singapore,100,"Kubernetes, Statistics, GCP",Associate,0,Media,2024-04-15,2024-05-30,643,5.7,AI Innovations
AI Software Engineer,212276,EUR,EX,CT,Germany,S,United Kingdom,0,"R, SQL, Data Visualization, PyTorch, TensorFlow",Bachelor,18,Manufacturing,2024-11-08,2025-01-07,1123,6.8,Quantum Computing Inc
AI Software Engineer,21072,USD,EN,FT,India,L,India,100,"Kubernetes, GCP, NLP, MLOps",Bachelor,1,Technology,2024-12-15,2025-01-26,905,6.9,Future Systems
AI Software Engineer,81554,USD,SE,FT,Finland,S,Finland,0,"Hadoop, Linux, R",Bachelor,9,Manufacturing,2024-08-25,2024-10-09,2491,6.5,TechCorp Inc
Research Scientist,257666,USD,EX,PT,Australia,L,Australia,0,"SQL, PyTorch, Java",Associate,12,Transportation,2024-08-28,2024-11-01,1613,8.1,DataVision Ltd
Machine Learning Researcher,92568,USD,MI,CT,Ireland,S,Ireland,0,"Azure, Python, MLOps, Kubernetes",Master,3,Manufacturing,2024-03-30,2024-05-28,2342,9.9,Advanced Robotics
Data Scientist,87820,USD,SE,FT,Finland,S,Finland,0,"PyTorch, Scala, Computer Vision, Kubernetes",Associate,7,Transportation,2025-04-09,2025-05-30,1762,8.4,Machine Intelligence Group
Autonomous Systems Engineer,92724,USD,MI,FT,Singapore,M,Sweden,0,"TensorFlow, Scala, GCP, SQL",Associate,4,Consulting,2025-02-11,2025-02-27,886,5.3,Machine Intelligence Group
Data Engineer,92791,USD,MI,CT,Canada,M,Canada,100,"Linux, R, Scala",Bachelor,3,Healthcare,2024-04-29,2024-05-14,2264,9.2,DataVision Ltd
NLP Engineer,123997,USD,SE,CT,Finland,L,Finland,50,"Java, GCP, Computer Vision, Git",Master,6,Government,2024-02-18,2024-04-24,1554,9.1,Future Systems
Computer Vision Engineer,93012,EUR,MI,CT,Netherlands,M,Netherlands,0,"MLOps, Scala, Statistics",PhD,3,Finance,2024-03-20,2024-05-18,1313,5.2,Quantum Computing Inc
AI Software Engineer,80467,USD,EX,PT,India,S,India,0,"Mathematics, Linux, Git, PyTorch",Master,14,Manufacturing,2024-11-22,2024-12-25,2205,6.8,Predictive Systems
AI Specialist,80735,USD,MI,PT,Ireland,S,Ireland,100,"Kubernetes, PyTorch, SQL, MLOps",Associate,3,Energy,2024-10-09,2024-11-16,2497,6.8,Smart Analytics
AI Product Manager,335166,USD,EX,PT,Switzerland,M,Switzerland,50,"Linux, PyTorch, Kubernetes, Git",Associate,12,Real Estate,2024-09-19,2024-10-16,1954,7.4,AI Innovations
AI Architect,201212,USD,SE,CT,Norway,L,Denmark,100,"Azure, Hadoop, Scala",Master,5,Finance,2025-01-26,2025-03-18,2395,8.2,Cloud AI Solutions
Robotics Engineer,115752,EUR,SE,FT,Netherlands,S,Netherlands,0,"Scala, SQL, Tableau, Data Visualization, MLOps",PhD,8,Real Estate,2024-12-02,2025-01-03,1378,5.2,Quantum Computing Inc
Principal Data Scientist,223810,USD,EX,PT,Israel,M,New Zealand,100,"Statistics, Data Visualization, Python",Bachelor,13,Gaming,2024-08-06,2024-10-18,1937,10.0,Algorithmic Solutions
Deep Learning Engineer,104075,USD,SE,CT,India,L,India,100,"Kubernetes, Tableau, MLOps, SQL, Linux",Master,5,Energy,2025-02-28,2025-04-03,2193,7.6,Autonomous Tech
AI Specialist,55250,EUR,EN,FT,France,L,France,50,"PyTorch, Docker, Tableau, Data Visualization",Associate,1,Government,2024-09-13,2024-10-11,1242,9.2,Neural Networks Co
AI Specialist,112677,USD,SE,CT,Israel,S,Israel,0,"Data Visualization, Linux, SQL, R",Bachelor,9,Automotive,2025-02-26,2025-04-06,1251,6.3,Digital Transformation LLC
Principal Data Scientist,72755,EUR,MI,FT,Netherlands,S,Netherlands,50,"GCP, Mathematics, Python, AWS, Deep Learning",Associate,4,Government,2024-12-02,2025-01-18,606,8.3,Advanced Robotics
Data Engineer,167401,USD,EX,FT,Ireland,M,Canada,50,"Tableau, AWS, NLP, Scala",Bachelor,14,Manufacturing,2024-12-25,2025-02-01,1124,8.5,AI Innovations
Research Scientist,170307,USD,SE,FT,United States,L,United States,100,"Azure, Git, AWS",PhD,9,Technology,2025-01-02,2025-03-08,2456,9.0,Advanced Robotics
Data Scientist,122346,USD,SE,PT,Denmark,S,Chile,0,"Java, Kubernetes, GCP, SQL",Master,6,Gaming,2025-04-23,2025-06-25,1865,9.7,Future Systems
Principal Data Scientist,127134,USD,MI,CT,Denmark,M,Denmark,100,"Java, Kubernetes, GCP, MLOps, Tableau",PhD,2,Energy,2024-06-09,2024-08-10,2437,5.1,Algorithmic Solutions
ML Ops Engineer,43469,USD,EN,CT,India,L,India,100,"Spark, Statistics, SQL, Python, MLOps",Master,0,Manufacturing,2024-11-30,2025-02-09,1124,7.6,Machine Intelligence Group
Data Engineer,119425,USD,SE,PT,Ireland,M,Nigeria,0,"Hadoop, Python, MLOps",Associate,9,Education,2025-04-15,2025-05-14,1732,5.9,Advanced Robotics
Autonomous Systems Engineer,92083,CAD,MI,FT,Canada,S,Canada,0,"Kubernetes, Linux, R",Bachelor,3,Finance,2024-05-25,2024-07-02,1467,7.0,Digital Transformation LLC
AI Product Manager,64179,USD,EN,PT,Sweden,S,Sweden,100,"Java, Git, AWS, Linux, Computer Vision",Associate,0,Consulting,2024-07-13,2024-08-11,1398,9.8,DataVision Ltd
AI Architect,81692,GBP,MI,CT,United Kingdom,M,United Kingdom,100,"TensorFlow, Docker, Hadoop, R, Spark",PhD,4,Real Estate,2024-09-02,2024-10-27,1425,5.9,DeepTech Ventures
Head of AI,149821,GBP,EX,FT,United Kingdom,M,United Kingdom,0,"Scala, TensorFlow, R",Associate,10,Media,2024-06-19,2024-07-05,589,7.5,Algorithmic Solutions
AI Research Scientist,105358,GBP,SE,CT,United Kingdom,S,Ireland,0,"Linux, Scala, SQL, Hadoop, TensorFlow",Master,9,Technology,2024-08-12,2024-09-01,1135,7.7,Neural Networks Co
AI Research Scientist,81099,USD,SE,FT,Japan,S,United States,0,"Tableau, Docker, Spark",Master,9,Finance,2024-01-27,2024-02-17,1544,7.1,Digital Transformation LLC
NLP Engineer,176147,USD,SE,CT,United States,L,United States,0,"Computer Vision, AWS, Java, R, Mathematics",PhD,9,Healthcare,2024-06-30,2024-07-17,1957,7.1,Neural Networks Co
AI Specialist,68999,USD,EN,FT,United States,S,Russia,50,"Scala, Git, Data Visualization",Bachelor,0,Energy,2024-12-01,2025-02-10,2474,7.9,Predictive Systems
Data Scientist,125056,USD,MI,PT,United States,M,United States,50,"Docker, TensorFlow, Tableau",Associate,2,Finance,2024-05-04,2024-06-02,1278,7.1,Advanced Robotics
Robotics Engineer,33564,USD,MI,FT,India,L,Israel,0,"Scala, Tableau, Kubernetes, Deep Learning",Associate,4,Media,2024-03-30,2024-05-06,562,5.8,DataVision Ltd
Research Scientist,196793,USD,EX,FT,Singapore,L,China,0,"SQL, Linux, R",Associate,11,Healthcare,2024-01-23,2024-03-17,722,8.0,Future Systems
AI Product Manager,79033,AUD,MI,FT,Australia,M,Australia,50,"NLP, GCP, Spark",PhD,3,Manufacturing,2024-12-07,2025-01-30,1300,7.2,Future Systems
Robotics Engineer,101660,USD,SE,FT,Israel,M,Israel,0,"Hadoop, Python, Deep Learning",Associate,5,Government,2024-03-24,2024-05-01,1395,7.7,Digital Transformation LLC
NLP Engineer,98833,USD,SE,FL,Canada,M,Netherlands,100,"Hadoop, Kubernetes, MLOps, Python",Master,7,Finance,2024-03-02,2024-03-20,1881,5.8,Digital Transformation LLC
AI Specialist,178380,JPY,SE,CT,Japan,L,Japan,0,"Git, MLOps, TensorFlow, Python, Tableau",Bachelor,8,Media,2025-03-26,2025-04-22,1368,6.1,Neural Networks Co
Robotics Engineer,91016,CAD,MI,CT,Canada,L,Switzerland,50,"Hadoop, Spark, Deep Learning, Python",Associate,3,Transportation,2025-04-14,2025-05-10,1257,6.5,Cloud AI Solutions
Deep Learning Engineer,77485,USD,MI,FT,Austria,L,Austria,0,"Java, Data Visualization, Azure",Associate,3,Telecommunications,2024-11-24,2025-02-05,1141,5.1,Predictive Systems
Principal Data Scientist,135857,CAD,SE,PT,Canada,L,Czech Republic,0,"Mathematics, Spark, Data Visualization",Bachelor,7,Automotive,2025-04-02,2025-05-23,1584,6.5,Cloud AI Solutions
AI Consultant,113007,USD,MI,CT,Denmark,S,Estonia,0,"Python, Tableau, SQL",Bachelor,2,Media,2025-01-11,2025-03-12,1510,5.2,DataVision Ltd
NLP Engineer,222977,EUR,EX,FL,Germany,L,Germany,0,"NLP, Computer Vision, Data Visualization, Docker, SQL",PhD,13,Finance,2025-02-21,2025-03-24,869,9.0,Machine Intelligence Group
Data Engineer,111513,USD,MI,FL,United States,S,Finland,0,"Kubernetes, Azure, Deep Learning, Data Visualization, SQL",Associate,3,Healthcare,2024-06-09,2024-06-23,901,7.5,AI Innovations
Machine Learning Engineer,98287,EUR,SE,PT,France,S,France,0,"Data Visualization, Scala, AWS, Statistics",PhD,8,Technology,2025-01-15,2025-02-02,1044,9.6,Advanced Robotics
Robotics Engineer,111780,SGD,SE,CT,Singapore,S,Singapore,0,"Python, GCP, AWS, Mathematics, TensorFlow",PhD,5,Transportation,2025-03-13,2025-03-30,746,5.1,Machine Intelligence Group
Head of AI,78962,EUR,EN,FL,Germany,M,Germany,0,"Kubernetes, GCP, Python, Docker, TensorFlow",PhD,1,Manufacturing,2025-04-12,2025-06-03,2069,9.9,Advanced Robotics
AI Specialist,106226,CAD,SE,CT,Canada,M,Canada,0,"Scala, PyTorch, Docker",Associate,5,Energy,2024-12-02,2025-01-14,1075,9.4,Future Systems
Robotics Engineer,120897,USD,MI,FT,Ireland,L,Ireland,100,"SQL, Java, PyTorch",PhD,3,Gaming,2024-05-11,2024-06-25,830,5.6,Neural Networks Co
ML Ops Engineer,74780,CHF,EN,CT,Switzerland,M,Italy,100,"Computer Vision, Mathematics, Tableau, Data Visualization",Master,0,Automotive,2025-03-26,2025-04-11,846,8.7,Autonomous Tech
NLP Engineer,137594,GBP,SE,FT,United Kingdom,S,United Kingdom,50,"Java, GCP, Computer Vision, SQL",Bachelor,5,Telecommunications,2024-05-10,2024-07-19,1375,9.6,Machine Intelligence Group
Head of AI,116499,EUR,MI,CT,Germany,L,Germany,100,"Linux, Python, Deep Learning",Bachelor,3,Manufacturing,2024-11-26,2024-12-18,1419,6.5,DataVision Ltd
AI Software Engineer,84890,USD,EN,CT,Ireland,L,Ireland,100,"GCP, Hadoop, Azure, Scala",PhD,0,Gaming,2024-05-28,2024-07-01,2159,9.2,Cloud AI Solutions
Data Scientist,89067,GBP,MI,FT,United Kingdom,M,United Kingdom,50,"PyTorch, R, Tableau, Git",Master,2,Government,2024-03-23,2024-06-03,1133,8.0,Predictive Systems
AI Consultant,77831,USD,SE,FT,Finland,S,Canada,100,"GCP, PyTorch, Computer Vision, Scala, AWS",PhD,8,Government,2024-09-11,2024-10-08,988,7.0,Digital Transformation LLC
Head of AI,93638,USD,SE,CT,Japan,M,Japan,0,"PyTorch, MLOps, R, GCP, Git",Associate,8,Finance,2024-10-18,2024-11-07,2344,6.4,Future Systems
NLP Engineer,117694,USD,MI,FL,Denmark,L,China,100,"Java, GCP, R",Associate,2,Healthcare,2024-07-30,2024-10-05,1586,7.6,AI Innovations
Autonomous Systems Engineer,96506,USD,SE,FT,Ireland,S,Ireland,100,"Hadoop, Spark, Kubernetes, Scala",PhD,5,Finance,2024-07-03,2024-07-27,2137,8.6,Cloud AI Solutions
ML Ops Engineer,210562,USD,EX,CT,Sweden,L,Sweden,50,"Kubernetes, MLOps, SQL, Spark",Bachelor,13,Media,2024-01-01,2024-01-18,1463,7.3,Cloud AI Solutions
AI Consultant,215064,EUR,EX,CT,Austria,L,Austria,50,"PyTorch, SQL, Spark, Computer Vision, Mathematics",PhD,11,Telecommunications,2024-07-12,2024-07-26,581,8.7,Algorithmic Solutions
Robotics Engineer,94680,USD,EN,FT,Denmark,L,Denmark,0,"Hadoop, Git, PyTorch, Azure, TensorFlow",PhD,1,Transportation,2025-03-18,2025-05-07,1312,6.2,Future Systems
Data Engineer,80773,USD,MI,FT,South Korea,S,South Korea,50,"Python, Kubernetes, NLP, Tableau",Master,2,Real Estate,2024-11-01,2024-11-16,1040,5.0,AI Innovations
Machine Learning Engineer,66847,USD,MI,CT,Austria,S,China,50,"Docker, Azure, GCP, Mathematics",Associate,2,Technology,2025-03-15,2025-05-15,1587,7.2,Future Systems
Data Scientist,67200,USD,MI,FL,India,M,Israel,50,"MLOps, Python, Spark",Associate,4,Healthcare,2024-02-02,2024-03-30,1026,5.4,DataVision Ltd
Deep Learning Engineer,169678,USD,SE,PT,Norway,M,Norway,100,"TensorFlow, Python, Azure, Scala, NLP",Bachelor,8,Manufacturing,2024-06-15,2024-07-24,1276,6.1,Neural Networks Co
AI Architect,83779,USD,MI,FT,Singapore,M,Singapore,50,"R, SQL, PyTorch, TensorFlow, Python",Associate,4,Retail,2024-03-10,2024-05-18,2069,8.2,Digital Transformation LLC
Research Scientist,87710,USD,MI,PT,Australia,L,Israel,50,"Mathematics, MLOps, Computer Vision, PyTorch, Scala",Master,2,Government,2024-03-24,2024-04-27,627,7.2,DataVision Ltd
AI Architect,104343,GBP,MI,CT,United Kingdom,S,United Kingdom,0,"SQL, Data Visualization, Java, GCP",Master,3,Retail,2024-05-21,2024-08-01,812,7.3,Autonomous Tech
Research Scientist,55748,EUR,EN,FT,Germany,S,Germany,0,"Tableau, SQL, Hadoop, PyTorch",Bachelor,1,Education,2025-03-06,2025-05-07,743,7.3,Digital Transformation LLC
AI Consultant,80784,USD,SE,CT,South Korea,S,Israel,0,"Scala, Python, Git, Linux",Associate,6,Manufacturing,2025-01-05,2025-02-11,1157,6.4,TechCorp Inc
AI Product Manager,48318,USD,EN,PT,Finland,M,South Korea,50,"Java, R, Data Visualization, Kubernetes, Linux",Master,1,Energy,2024-11-14,2024-12-19,1948,6.1,Digital Transformation LLC
NLP Engineer,93900,USD,MI,CT,Ireland,L,Ireland,50,"Linux, AWS, NLP, Git",Bachelor,3,Retail,2024-11-04,2024-12-02,918,5.8,DeepTech Ventures
Data Engineer,90945,USD,MI,PT,Singapore,L,Singapore,100,"Linux, Deep Learning, R",Master,4,Automotive,2024-09-26,2024-12-08,2190,10.0,DeepTech Ventures
Machine Learning Engineer,83010,EUR,EN,CT,Germany,L,Malaysia,0,"Hadoop, SQL, Java",Bachelor,0,Retail,2024-12-21,2025-02-03,2456,9.9,Smart Analytics
Machine Learning Researcher,54381,EUR,EN,CT,Germany,S,Germany,0,"Linux, TensorFlow, Statistics, Azure, Scala",Bachelor,0,Automotive,2024-06-23,2024-08-30,942,5.9,Cognitive Computing
Principal Data Scientist,51039,GBP,EN,CT,United Kingdom,S,United Kingdom,0,"TensorFlow, R, Computer Vision",Master,0,Energy,2024-07-10,2024-08-23,527,5.9,Digital Transformation LLC
Machine Learning Engineer,120317,USD,SE,FT,Israel,M,Israel,50,"SQL, Docker, TensorFlow, Linux, Tableau",Bachelor,6,Education,2025-01-05,2025-02-20,1725,9.6,Neural Networks Co
Autonomous Systems Engineer,62788,USD,MI,PT,South Korea,M,India,100,"GCP, Data Visualization, Python",Master,2,Telecommunications,2024-12-08,2024-12-30,871,6.5,Neural Networks Co
ML Ops Engineer,62544,EUR,EN,CT,Germany,L,China,0,"Linux, R, Deep Learning",Master,1,Manufacturing,2025-04-25,2025-06-04,1474,6.9,AI Innovations
AI Architect,96735,USD,SE,CT,South Korea,L,South Korea,50,"PyTorch, Computer Vision, TensorFlow",Master,5,Telecommunications,2025-01-02,2025-01-25,632,7.7,TechCorp Inc
Machine Learning Researcher,53454,USD,EN,CT,Japan,M,China,0,"Tableau, Spark, Azure, AWS, Git",PhD,1,Technology,2025-04-23,2025-06-29,2309,7.3,Smart Analytics
Data Analyst,108968,USD,SE,CT,South Korea,S,South Korea,100,"PyTorch, Spark, Git, Kubernetes",Associate,8,Technology,2025-04-02,2025-04-22,1818,6.1,Machine Intelligence Group
AI Specialist,104925,JPY,SE,PT,Japan,S,Nigeria,0,"Git, MLOps, Scala, Python",Master,6,Media,2024-04-10,2024-05-05,2391,7.8,Neural Networks Co
AI Product Manager,70157,EUR,EN,FL,Netherlands,L,Netherlands,0,"Kubernetes, Scala, Statistics, Git",PhD,0,Real Estate,2024-08-20,2024-10-02,1665,8.3,DeepTech Ventures
Research Scientist,112653,JPY,MI,FL,Japan,L,Japan,100,"Python, SQL, Java, Spark",Bachelor,2,Energy,2024-12-25,2025-02-06,2007,8.1,Future Systems
AI Consultant,116226,USD,SE,FT,Sweden,M,Sweden,50,"PyTorch, Java, TensorFlow",Bachelor,6,Finance,2024-05-14,2024-07-11,1881,6.1,DeepTech Ventures
Machine Learning Engineer,111434,USD,SE,FT,India,L,India,100,"Statistics, Computer Vision, Kubernetes, Java",Master,7,Transportation,2024-06-22,2024-07-30,2000,5.5,TechCorp Inc
Robotics Engineer,80596,EUR,EN,FT,Austria,L,Switzerland,0,"Kubernetes, Scala, PyTorch, Mathematics",Master,1,Education,2024-06-27,2024-08-26,1512,6.8,Digital Transformation LLC
Deep Learning Engineer,58995,USD,EN,CT,Sweden,L,Portugal,0,"Linux, Spark, R",Associate,1,Telecommunications,2025-03-01,2025-03-26,1543,9.8,Smart Analytics
Principal Data Scientist,293738,USD,EX,FT,United States,M,United States,0,"Java, Linux, Spark, Statistics",Master,19,Consulting,2024-02-26,2024-05-06,2079,5.6,Neural Networks Co
Head of AI,220964,USD,EX,FT,Sweden,S,Sweden,100,"PyTorch, Computer Vision, Hadoop, Python, Spark",PhD,19,Automotive,2024-11-14,2025-01-15,2217,8.3,Quantum Computing Inc
Principal Data Scientist,317635,USD,EX,CT,Switzerland,L,Switzerland,50,"Spark, Hadoop, Deep Learning",Bachelor,10,Telecommunications,2024-10-26,2024-12-05,2412,9.0,TechCorp Inc
Data Scientist,100206,EUR,MI,CT,Germany,M,Germany,0,"NLP, Kubernetes, Mathematics",Bachelor,3,Finance,2024-03-24,2024-05-28,1544,6.6,TechCorp Inc
Machine Learning Engineer,106614,USD,EX,FT,China,M,Japan,50,"SQL, Azure, GCP",Master,14,Real Estate,2025-01-13,2025-03-08,734,5.6,Future Systems
Principal Data Scientist,52661,USD,MI,CT,Finland,M,Finland,100,"Scala, Tableau, TensorFlow, Mathematics",PhD,4,Automotive,2024-08-31,2024-11-03,2273,5.6,Machine Intelligence Group
Computer Vision Engineer,222188,USD,EX,FT,Denmark,L,Denmark,100,"Tableau, Kubernetes, Deep Learning, Data Visualization",Master,12,Retail,2024-04-16,2024-05-17,2045,6.9,Predictive Systems
AI Research Scientist,56957,USD,EN,FT,Canada,S,South Korea,100,"Scala, SQL, NLP, Docker, Kubernetes",Bachelor,0,Real Estate,2024-03-31,2024-05-15,2338,8.1,Cloud AI Solutions
AI Architect,87092,USD,EN,PT,Israel,L,Israel,50,"Kubernetes, Statistics, Scala",PhD,0,Healthcare,2024-02-25,2024-04-14,1931,9.9,Predictive Systems
AI Architect,61374,USD,EN,CT,Norway,S,Denmark,50,"MLOps, Java, Linux",Associate,1,Consulting,2024-03-18,2024-05-15,509,6.6,DeepTech Ventures
